,SRR5962198,SRR5962199,SRR5962200,SRR5962201,SRR5962202,SRR5962203,SRR5962204,SRR5962205,SRR5962206,SRR5962207,SRR5962208,SRR5962209,SRR5962210,SRR5962211,SRR5962212,SRR5962213,SRR5962214,SRR5962215,SRR5962216,SRR5962217,SRR5962218,SRR5962219,SRR5962220,SRR5962221,SRR5962222,SRR5962223,SRR5962224,SRR5962225,SRR5962226,SRR5962227,SRR5962228,SRR5962229,SRR5962230,SRR5962231,SRR5962232,SRR5962233,SRR5962234,SRR5962235,SRR5962236,SRR5962237,SRR5962238,SRR5962239,SRR5962240,SRR5962241
ENSG00000211765,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,4,3,0,0,0,4,2
ENSG00000211764,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,3,3,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1
ENSG00000169740,198,166,531,723,385,365,1684,423,119,191,293,412,339,276,286,737,1151,987,695,860,937,1662,30,334,522,271,618,1809,1544,1858,196,329,495,159,1822,521,786,491,813,1133,725,33,632,1010
ENSG00000215869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,13
ENSG00000261609,591,414,1110,2264,2144,1071,2329,568,487,449,1348,1012,574,534,588,3635,4512,2977,2425,2440,3438,2467,0,623,1222,372,1192,2539,1292,1690,383,2386,1374,215,2665,627,979,942,1702,1560,886,1781,2469,1505
ENSG00000169744,956,497,788,1913,1344,1113,2016,566,515,534,609,1147,501,589,566,693,2626,2662,1947,3730,2289,692,11,270,153,85,702,1045,1055,1001,53,233,610,100,784,117,144,324,799,451,353,1816,1120,447
ENSG00000261607,0,0,0,0,2,0,0,0,0,0,0,2,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3
ENSG00000261606,0,0,0,0,0,0,0,0,6,0,22,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,53,46,0,0,0,0,0,0,0,19,74,44,6,0,0,0,0
ENSG00000215866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,24,0,0,0,0,0,0,20,41,0,0,6,0,11,62
ENSG00000261604,11,4,9,9,38,15,34,5,14,6,22,6,8,7,41,41,56,15,66,33,75,14,0,14,8,6,29,96,41,52,3,20,32,8,11,8,25,45,22,18,66,66,69,60
ENSG00000261603,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,17,5,0,0,0,18,0,0,0,5,0,0,18,10,5,12,0,6,0,0,6,0,11,9,0,22,0,40,29
ENSG00000261602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000261600,3,0,3,18,6,6,23,15,6,0,5,0,1,0,12,22,24,16,18,19,15,10,1,2,0,2,4,11,25,50,6,1,9,0,36,0,10,19,8,16,27,16,11,18
ENSG00000251074,0,0,0,0,7,0,0,0,0,0,3,2,0,0,3,0,3,0,0,0,0,5,0,2,0,2,28,8,3,0,1,0,0,0,0,0,8,7,0,0,0,0,3,18
ENSG00000168298,1006,698,1771,2597,3168,905,8825,1711,740,804,946,1199,669,635,1121,2264,3726,2669,2332,2321,2182,4304,165,1645,1130,920,3128,11391,4561,5364,2209,4968,2732,509,2590,2054,2097,1550,2363,6995,2507,5798,1809,1650
